City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,nelson bay,-32.7167,152.15,61.11,64,91,13.0,AU,2023-10-06 12:50:09
185,kas,36.2018,29.6377,74.59,64,11,7.2,TR,2023-10-06 12:53:11
186,ar ruways,24.1103,52.7306,88.99,61,0,18.77,AE,2023-10-06 12:53:11
187,luanda,-8.8368,13.2343,78.8,78,40,10.36,AO,2023-10-06 12:48:49
188,olonkinbyen,70.9221,-8.7187,33.87,63,12,17.22,SJ,2023-10-06 12:53:12
189,fond parisien,18.5058,-71.9767,89.56,52,39,4.07,HT,2023-10-06 12:49:27
190,serra talhada,-7.9919,-38.2983,99.41,13,7,10.27,BR,2023-10-06 12:53:02
191,nar'yan-mar,67.6713,53.087,39.11,78,20,21.0,RU,2023-10-06 12:53:13
192,panamaram,11.7404,76.0738,65.77,99,73,1.59,IN,2023-10-06 12:53:13
193,chernyshevskiy,63.0128,112.4714,35.24,93,100,10.8,RU,2023-10-06 12:53:13
194,port lincoln,-34.7333,135.8667,52.92,74,33,14.43,AU,2023-10-06 12:53:14
195,nyurba,63.2842,118.3319,36.03,56,100,5.01,RU,2023-10-06 12:53:14
196,hasaki,35.7333,140.8333,61.29,51,60,12.17,JP,2023-10-06 12:53:14
197,porto san giorgio,43.1827,13.7934,72.59,69,6,5.82,IT,2023-10-06 12:53:14
198,liwale,-9.7667,37.9333,75.78,68,70,6.31,TZ,2023-10-06 12:53:15
199,fortaleza,-3.7227,-38.5247,89.73,51,20,18.41,BR,2023-10-06 12:53:15
200,pont rouge,48.8833,-72.0825,73.69,64,100,14.97,CA,2023-10-06 12:53:15
201,qaqortoq,60.7167,-46.0333,34.54,94,100,5.41,GL,2023-10-06 12:53:15
202,mulayjah,27.271,48.4242,88.12,18,0,8.39,SA,2023-10-06 12:53:15
203,bilibino,68.0546,166.4372,3.38,98,61,3.67,RU,2023-10-06 12:53:16
204,siraha,26.6541,86.2087,75.9,92,40,4.61,NP,2023-10-06 12:53:16
205,coruripe,-10.1256,-36.1756,82.45,67,76,13.67,BR,2023-10-06 12:53:16
206,san antonio de pale,-1.4014,5.6325,78.66,82,75,9.8,GQ,2023-10-06 12:53:16
207,happy valley-goose bay,53.3168,-60.3315,75.51,57,75,5.75,CA,2023-10-06 12:53:17
208,kachug,53.9606,105.8817,45.05,83,85,3.0,RU,2023-10-06 12:53:17
209,ust'-ilimsk,58.0006,102.6619,43.45,85,89,7.0,RU,2023-10-06 12:53:17
210,carutapera,-1.195,-46.02,88.38,52,96,10.85,BR,2023-10-06 12:53:17
211,leh,34.1667,77.5833,52.18,25,46,5.79,IN,2023-10-06 12:53:17
212,greymouth,-42.4667,171.2,50.25,90,68,7.18,NZ,2023-10-06 12:53:18
213,coquimbo,-29.9533,-71.3436,62.33,55,75,9.22,CL,2023-10-06 12:53:18
214,loikaw,19.6742,97.2094,69.01,96,100,2.68,MM,2023-10-06 12:53:18
215,madras,13.0878,80.2785,84.18,86,40,6.91,IN,2023-10-06 12:48:45
216,kendari,-3.945,122.4989,72.39,86,1,2.93,ID,2023-10-06 12:53:19
217,acapulco de juarez,16.8634,-99.8901,87.62,74,75,5.75,MX,2023-10-06 12:52:23
218,borzya,50.3833,116.5167,49.06,43,100,6.93,RU,2023-10-06 12:53:19
219,mejit,10.2753,170.8646,82.54,76,99,16.44,MH,2023-10-06 12:53:19
220,guangyuan,32.442,105.823,59.54,87,100,3.04,CN,2023-10-06 12:53:20
221,bakchar,57.0186,82.0711,50.97,78,100,4.97,RU,2023-10-06 12:53:20
222,porto novo,6.4965,2.6036,84.02,80,40,7.43,BJ,2023-10-06 12:53:20
223,alice springs,-23.7,133.8833,51.35,37,7,6.91,AU,2023-10-06 12:53:20
224,new norfolk,-42.7826,147.0587,42.71,91,71,2.93,AU,2023-10-06 12:53:20
225,narrabri,-30.3167,149.7833,53.53,78,0,3.0,AU,2023-10-06 12:53:21
226,krasnogorskoye,52.2953,86.1979,50.09,89,1,2.28,RU,2023-10-06 12:53:21
227,zhosaly,45.4878,64.0781,62.83,38,87,5.73,KZ,2023-10-06 12:53:21
228,huntington,38.4193,-82.4452,71.38,85,100,6.91,US,2023-10-06 12:53:21
229,tobruk,32.0836,23.9764,73.87,63,8,12.88,LY,2023-10-06 12:53:21
230,kivioli,59.3531,26.9711,46.45,71,97,11.56,EE,2023-10-06 12:53:22
231,praia da vitoria,38.7333,-27.0667,72.75,73,40,11.9,PT,2023-10-06 12:53:22
232,sakakah,29.9697,40.2064,94.57,21,65,9.89,SA,2023-10-06 12:53:22
233,konstantinovskoye,45.2992,42.6367,68.36,33,100,6.38,RU,2023-10-06 12:53:22
234,cartagena,10.3997,-75.5144,89.22,70,20,6.91,CO,2023-10-06 12:53:23
235,seeb,23.6703,58.1891,89.69,51,0,3.44,OM,2023-10-06 12:53:23
236,meulaboh,4.1363,96.1285,77.32,90,100,3.91,ID,2023-10-06 12:53:23
237,bairnsdale,-37.8333,147.6167,42.06,95,34,4.29,AU,2023-10-06 12:53:23
238,gamba,-2.65,10.0,78.06,83,81,8.16,GA,2023-10-06 12:53:24
